"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"TP58","1","A8","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP59","1","A9","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP60","1","A10","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP61","1","A11","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP62","1","A12","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP63","1","A13","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP64","1","A14","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP65","1","A15","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP66","1","A16","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP67","1","A17","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP68","1","A18","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP69","1","A19","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP70","1","A20","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP71","1","A21","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP72","1","A22","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP73","1","A23","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP74","1","A24","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP75","1","A25","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP76","1","A26","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP77","1","A27","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP78","1","A28","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP79","1","A29","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP80","1","A30","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP81","1","A31","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP82","1","D0","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP83","1","D1","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP84","1","D2","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP85","1","D3","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP86","1","D4","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP87","1","D5","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP88","1","D6","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP89","1","D7","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP90","1","D8","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP91","1","D9","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
"TP92","1","D10","","","","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~"
